model_id,engine_litres,weight_kg,power_kw,cylinders,city_kpl
V001,4.3,1855,244,8,21.08
V002,2.5,1607,132,6,15.29
V003,4.6,2140,230,8,10.44
V004,4,1805,195,8,15.06
V005,4.7,2205,231,8,11.64
V006,2.3,1430,133,6,18.47
V007,3.3,1758,202,8,16.82
V008,4.9,2341,250,8,10.33
V009,1.6,1166,86,4,19.45
V010,1.1,1023,100,4,19.44
V011,4.2,1878,210,8,12.29
V012,1.7,1372,114,4,17.53
V013,1.2,1230,111,4,17.85
V014,3.8,1958,203,8,12.98
V015,1.3,1271,104,4,17.93
V016,2.2,1383,122,6,17.22
V017,4.8,2000,261,8,12.15
V018,4,1823,218,8,14.06
V019,2.5,1343,151,6,17.26
V020,2,1785,125,6,15.91
V021,2.5,1769,169,6,16.38
V022,4,1946,193,8,11.14
V023,3.4,1578,152,8,15.92
V024,2.5,1587,137,6,16.12
V025,1.4,1326,99,4,19.58
V026,4.6,1924,224,8,12.68
V027,1.7,1057,92,4,19.93
V028,1.8,1252,160,6,19.85
V029,4.3,2089,202,8,10.61
V030,3.1,1594,183,8,16.38
V031,4.5,2216,219,8,12.62
V032,2,1635,133,6,16.42
V033,5,2278,270,8,12.9
V034,3,1679,181,8,16.34
V035,4.8,2203,210,8,9.57
V036,1.2,1250,92,4,19.07
V037,4.6,2229,247,8,9.54
V038,2.5,1749,112,6,15.65
V039,4.9,2233,233,8,11.81
V040,4.4,2083,226,8,11.58
V041,2,1322,120,6,16.97
V042,1.9,1302,126,6,19.1
V043,4.9,2052,248,8,12.35
V044,4.8,2449,247,8,17.43
V045,4.9,2255,253,8,11.78
V046,5,2172,218,8,11.74
V047,3.8,1918,196,8,11.47
V048,2.2,1106,157,6,18.28
V049,3.1,1547,180,8,15.22
V050,3.2,1674,173,8,16.01
V051,2.7,1692,139,6,14.57
V052,1.9,1163,111,6,20.01
V053,3.5,1953,180,8,12.8
V054,4.4,2137,227,8,12.59
V055,4.9,2160,226,8,10.98
V056,4.9,2016,259,8,10.85
V057,3.1,1900,212,8,15.55
V058,1.8,1390,83,6,17.03
V059,5,2341,266,8,10.7
V060,3.1,1550,143,8,15.9
V061,1,920,87,4,20.04
V062,3.2,1475,190,8,17.92
V063,2.2,1515,150,6,19.21
V064,4.2,1913,222,8,13.45
V065,1.5,1043,94,4,20.05
V066,1.5,1186,101,4,18.12
V067,2.3,1858,136,6,17.33
V068,2.3,1603,127,6,17.26
V069,2.3,1549,135,6,16.79
V070,2.6,1571,140,6,14.34
V071,3.6,1799,175,8,12.38
V072,1.8,1334,123,6,17.9
V073,4,1983,193,8,13.13
V074,3.4,1953,154,8,12.76
V075,2.4,1597,149,6,17.04
V076,1,1308,88,4,17.92
V077,4.1,1938,188,8,12.84
V078,1.2,1544,89,4,17.36
V079,3.2,1740,146,8,13.71
V080,4.3,2002,234,8,10.88
V081,1.6,1524,108,4,17.55
V082,2.2,1300,149,6,18.99
V083,3.9,2140,210,8,14.54
V084,2.4,1318,151,6,18.31
V085,4.8,1877,247,8,12.87
V086,3.6,1578,187,8,14.38
V087,2.9,1755,144,6,23.31
V088,1.8,1405,143,6,19.76
V089,3,1831,177,8,15.23
V090,3.2,1731,172,8,13.75
V091,2,1094,119,6,17.74
V092,3.9,1780,175,8,13.08
V093,2.7,1594,162,6,17.87
V094,2.4,1496,140,6,16.4
V095,1.9,1150,146,6,19.42
V096,3.4,1704,202,8,16.79
V097,2.9,1886,150,6,15.08
V098,1.3,1217,85,4,17.22
V099,3.7,1702,169,8,13.19
V100,4.4,2202,248,8,12.2
V101,3.3,1804,217,8,14.74
V102,3.5,2100,225,8,14.04
V103,1.8,1313,137,6,18.47
V104,2.4,1721,148,6,15.96
V105,3,1872,170,8,12.17
V106,1.9,1358,110,6,16.95
V107,4.4,2015,210,8,11.26
V108,1.4,1188,100,4,18.47
V109,1.7,1473,152,4,18.24
V110,2.1,1842,124,6,15.68
V111,1.3,1256,98,4,18.6
V112,3.3,1928,175,8,12.79
V113,3.5,1750,177,8,13.52
V114,3,1839,155,8,15.49
V115,1.7,1337,120,4,17.86
V116,3.4,1683,181,8,14.1
V117,4.5,2127,246,8,13.03
V118,3.1,1693,202,8,16
V119,2.5,1659,132,6,14.43
V120,3.4,1705,175,8,13.86
V121,2.4,1559,106,6,14.38
V122,1.1,964,103,4,21.63
