loan_id,credit_score,annual_income,loan_amount,debt_to_income,months_employed,prior_defaults,purpose,defaulted
L00001,836,72300,34600,0.292,0,0,other,0
L00002,767,36400,25600,0.556,21,0,debt_consolidation,0
L00003,749,36600,24800,0.329,54,0,medical,0
L00004,739,48400,9600,0.243,54,0,other,0
L00005,764,61000,16400,0.245,0,0,debt_consolidation,0
L00006,664,102100,61400,0.305,38,1,other,0
L00007,783,45400,17400,0.174,36,0,medical,0
L00008,751,33800,14400,0.506,0,0,other,0
L00009,588,68700,46900,0.278,15,0,medical,1
L00010,766,68200,39000,0.256,109,0,debt_consolidation,0
L00011,675,60100,20700,0.355,40,1,home_improvement,0
L00012,684,58700,28800,0.248,30,0,vehicle,0
L00013,594,43100,23500,0.519,61,0,debt_consolidation,0
L00014,673,64800,40700,0.42,118,0,debt_consolidation,0
L00015,840,64900,35600,0.407,41,0,other,0
L00016,682,42200,25200,0.428,108,2,medical,0
L00017,601,48800,31200,0.176,77,0,debt_consolidation,0
L00018,753,81100,23400,0.373,21,0,vehicle,0
L00019,768,64900,39700,0.301,75,0,debt_consolidation,0
L00020,607,75600,23600,0.45,123,1,home_improvement,0
L00021,673,106000,20200,0.068,68,1,home_improvement,0
L00022,703,74600,38000,0.126,158,0,vehicle,0
L00023,792,31800,23100,0.383,34,0,home_improvement,0
L00024,571,48100,27400,0.425,71,0,home_improvement,1
L00025,559,79300,31400,0.494,21,0,debt_consolidation,1
L00026,769,45200,25100,0.309,53,1,debt_consolidation,0
L00027,674,61500,13600,0.347,88,0,home_improvement,0
L00028,692,42300,6900,0.26,58,0,medical,0
L00029,836,76100,32900,0.34,33,0,other,0
L00030,795,52400,31700,0.303,53,0,medical,0
L00031,720,31300,17000,0.356,69,0,medical,0
L00032,637,64300,18600,0.063,22,0,other,0
L00033,627,69600,26700,0.153,52,0,other,1
L00034,676,55100,10700,0.379,62,0,debt_consolidation,0
L00035,721,94400,21400,0.38,107,0,other,0
L00036,709,69500,46400,0.336,34,0,medical,0
L00037,626,29700,11600,0.264,71,0,other,1
L00038,671,41500,9500,0.498,56,0,home_improvement,1
L00039,663,48000,22900,0.069,28,0,home_improvement,0
L00040,597,36800,6000,0.347,8,0,other,1
L00041,571,31400,11100,0.55,37,0,vehicle,1
L00042,723,75600,31700,0.338,67,1,vehicle,0
L00043,546,43400,16100,0.219,107,0,other,0
L00044,669,52600,8500,0.41,31,0,other,1
L00045,689,19900,8400,0.314,32,0,home_improvement,0
L00046,717,58600,30900,0.318,57,1,debt_consolidation,0
L00047,671,52600,28500,0.207,45,0,vehicle,0
L00048,739,41000,29300,0.401,41,0,home_improvement,0
L00049,716,27900,7900,0.372,44,0,medical,0
L00050,659,46400,13300,0.339,115,0,debt_consolidation,0
L00051,653,40500,16200,0.411,76,0,debt_consolidation,0
L00052,676,32900,21600,0.228,28,0,vehicle,0
L00053,752,81500,22300,0.345,77,0,home_improvement,0
L00054,709,33300,8600,0.321,127,2,medical,0
L00055,523,63500,20500,0.605,42,2,debt_consolidation,1
L00056,680,48800,36000,0.16,74,0,medical,0
L00057,726,24600,3900,0.186,30,1,vehicle,0
L00058,727,91500,52200,0.289,11,0,other,0
L00059,683,33900,8500,0.134,0,2,other,1
L00060,703,41900,8600,0.321,88,0,other,0
L00061,765,37300,8600,0.537,87,1,home_improvement,0
L00062,606,45100,21500,0.279,76,0,other,0
L00063,697,95500,67200,0.363,60,0,other,0
L00064,526,72100,30200,0.38,116,0,other,0
L00065,591,84100,26600,0.364,88,0,other,0
L00066,776,93000,55900,0.387,73,0,medical,0
L00067,624,83400,56400,0.355,23,0,vehicle,0
L00068,663,25600,8000,0.458,66,0,other,0
L00069,759,56300,37000,0.403,21,0,vehicle,0
L00070,694,22100,13100,0.257,44,0,other,0
L00071,646,38000,17500,0.239,39,0,debt_consolidation,0
L00072,706,64500,24100,0.399,79,1,other,0
L00073,764,38300,15100,0.168,39,0,medical,0
L00074,656,84900,28500,0.309,126,0,vehicle,0
L00075,732,55800,28800,0.234,27,2,debt_consolidation,0
L00076,762,36600,12800,0.205,136,0,medical,0
L00077,743,65600,41100,0.311,91,1,other,0
L00078,624,38300,14900,0.39,52,0,debt_consolidation,0
L00079,660,38600,20800,0.539,14,2,debt_consolidation,1
L00080,814,32100,24000,0.608,44,0,vehicle,0
L00081,685,53800,24400,0.288,20,2,home_improvement,0
L00082,745,56400,40800,0.318,64,1,debt_consolidation,0
L00083,710,68500,25000,0.508,29,0,medical,1
L00084,750,43800,9300,0.324,82,0,debt_consolidation,0
L00085,673,48300,16600,0.234,5,0,home_improvement,0
L00086,522,26600,12100,0.35,93,0,debt_consolidation,0
L00087,603,22800,8100,0.364,70,0,other,0
L00088,822,146200,78400,0.341,67,0,debt_consolidation,0
L00089,710,20000,3900,0.518,9,0,medical,1
L00090,633,43100,24100,0.428,35,0,other,1
