payment_id,date,vendor,category,amount
P00001,2024-10-17,"Harlow Print",logistics,858.6
P00002,2024-03-10,"Gilder Travel",facilities,85089.26
P00003,2024-05-31,"Fenwick Legal",materials,4397.52
P00004,2024-01-01,"Corvin Media",services,98306.67
P00005,2024-09-29,"Fenwick Legal",logistics,878.1
P00006,2024-11-18,"Gilder Travel",logistics,4825.9
P00007,2024-12-27,"Fenwick Legal",services,45817.05
P00008,2024-12-05,"Ember IT",logistics,94.56
P00009,2024-08-21,"Alder Supply",facilities,173.91
P00010,2024-02-08,"Brant Logistics",facilities,199.21
P00011,2024-03-15,"Fenwick Legal",logistics,466.74
P00012,2024-07-17,"Harlow Print",software,2426.09
P00013,2024-01-09,"Fenwick Legal",services,27354.54
P00014,2024-08-02,"Alder Supply",facilities,104096.41
P00015,2024-04-26,"Corvin Media",logistics,201.76
P00016,2024-11-04,"Fenwick Legal",logistics,3078.86
P00017,2024-12-14,"Delvin Facilities",logistics,94951.88
P00018,2024-04-10,"Brant Logistics",logistics,43575.88
P00019,2024-12-16,"Corvin Media",materials,3034.42
P00020,2024-11-08,"Brant Logistics",services,227.79
P00021,2024-10-25,"Corvin Media",facilities,26.98
P00022,2024-11-05,"Alder Supply",services,954.05
P00023,2024-09-28,"Alder Supply",materials,2350.81
P00024,2024-11-18,"Gilder Travel",logistics,89.95
P00025,2024-07-20,"Harlow Print",services,130.26
P00026,2024-03-04,"Delvin Facilities",services,5494.87
P00027,2024-03-01,"Alder Supply",services,36526.89
P00028,2024-10-27,"Harlow Print",facilities,30423.89
P00029,2024-04-06,"Corvin Media",software,1170.56
P00030,2024-05-19,"Corvin Media",software,1967.64
P00031,2024-12-20,"Gilder Travel",logistics,62978.74
P00032,2024-05-23,"Fenwick Legal",logistics,116079.6
P00033,2024-07-06,"Corvin Media",facilities,16660.24
P00034,2024-04-08,"Harlow Print",materials,5425.56
P00035,2024-05-05,"Alder Supply",facilities,355.4
P00036,2024-01-27,"Harlow Print",services,43.96
P00037,2024-06-29,"Ember IT",logistics,11700.17
P00038,2024-09-08,"Corvin Media",services,1155.31
P00039,2024-06-06,"Gilder Travel",materials,20.4
P00040,2024-01-03,"Fenwick Legal",materials,626.9
P00041,2024-06-09,"Ember IT",materials,9296.71
P00042,2024-04-26,"Brant Logistics",materials,882.99
P00043,2024-09-27,"Fenwick Legal",software,146.44
P00044,2024-12-06,"Alder Supply",logistics,117761.08
P00045,2024-01-19,"Brant Logistics",services,77178.95
P00046,2024-02-19,"Corvin Media",facilities,185.94
P00047,2024-10-14,"Fenwick Legal",services,39106.04
P00048,2024-05-13,"Fenwick Legal",materials,124.12
P00049,2024-10-21,"Ember IT",software,9661.74
P00050,2024-07-04,"Delvin Facilities",materials,33956.78
P00051,2024-04-22,"Ember IT",software,58.3
P00052,2024-08-01,"Alder Supply",materials,83.72
P00053,2024-03-15,"Ember IT",software,9682.63
P00054,2024-11-25,"Fenwick Legal",software,184348.6
P00055,2024-02-11,"Ember IT",materials,9903.98
