batch,date,inspected,defective,defects
1,2025-01-06,188,8,5
2,2025-01-13,214,7,7
3,2025-01-20,185,7,8
4,2025-01-27,193,6,11
5,2025-02-03,215,12,10
6,2025-02-10,218,5,9
7,2025-02-17,221,8,11
8,2025-02-24,233,11,7
9,2025-03-03,183,7,12
10,2025-03-10,235,13,6
11,2025-03-17,230,9,4
12,2025-03-24,213,3,5
13,2025-03-31,201,7,4
14,2025-04-07,235,11,8
15,2025-04-14,228,6,4
16,2025-04-21,207,9,10
17,2025-04-28,195,11,6
18,2025-05-05,183,8,4
19,2025-05-12,225,4,6
20,2025-05-19,186,4,4
21,2025-05-26,181,7,9
22,2025-06-02,209,7,10
23,2025-06-09,216,10,8
24,2025-06-16,216,9,5
25,2025-06-23,186,8,4
26,2025-06-30,189,3,6
27,2025-07-07,187,9,6
28,2025-07-14,185,7,8
29,2025-07-21,224,10,7
30,2025-07-28,234,8,3
31,2025-08-04,182,11,7
32,2025-08-11,206,8,9
33,2025-08-18,197,11,6
34,2025-08-25,236,18,10
35,2025-09-01,200,11,6
36,2025-09-08,205,14,6
37,2025-09-15,239,10,11
38,2025-09-22,201,8,8
39,2025-09-29,223,12,9
40,2025-10-06,201,14,15
41,2025-10-13,189,11,8
42,2025-10-20,206,13,16
43,2025-10-27,194,12,7
44,2025-11-03,207,8,6
45,2025-11-10,212,16,9
