subgroup,observation,value
1,1,50.2839
1,2,50.1679
1,3,50.0505
1,4,49.8796
1,5,49.9324
2,1,49.6181
2,2,50.1013
2,3,50.491
2,4,50.0287
2,5,49.854
3,1,50.0424
3,2,49.7712
3,3,49.6056
3,4,49.8356
3,5,49.6092
4,1,49.527
4,2,49.8136
4,3,49.7321
4,4,49.9342
4,5,50.2267
5,1,49.2987
5,2,49.8298
5,3,49.977
5,4,50.2004
5,5,49.8349
6,1,49.603
6,2,50.2123
6,3,50.3205
6,4,49.7154
6,5,49.7356
7,1,50.8669
7,2,49.8902
7,3,50.0637
7,4,50.7571
7,5,50.4054
8,1,49.865
8,2,50.3481
8,3,50.3394
8,4,49.4872
8,5,49.6548
9,1,50.0749
9,2,50.0118
9,3,49.5476
9,4,49.6566
9,5,50.2155
10,1,49.8468
10,2,49.9383
10,3,50.8125
10,4,49.4017
10,5,50.1924
11,1,50.0548
11,2,50.0205
11,3,50.1891
11,4,50.0832
11,5,50.5241
12,1,49.8447
12,2,50.0811
12,3,49.9916
12,4,50.5049
12,5,50.0593
13,1,50.0204
13,2,49.8187
13,3,50.2181
13,4,49.4976
13,5,49.8262
14,1,49.4195
14,2,50.0299
14,3,49.7264
14,4,49.7805
14,5,49.6631
15,1,50.2939
15,2,50.4623
15,3,49.9727
15,4,49.4336
15,5,50.1201
16,1,50.1161
16,2,49.6732
16,3,50.3939
16,4,50.164
16,5,49.9899
17,1,50.5609
17,2,50.347
17,3,50.27
17,4,50.1755
17,5,50.3337
18,1,50.179
18,2,50.0181
18,3,49.816
18,4,49.7042
18,5,49.652
19,1,50.0633
19,2,49.755
19,3,50.2765
19,4,49.9253
19,5,50.3041
20,1,50.1631
20,2,49.9829
20,3,50.1884
20,4,49.9511
20,5,50.1557
21,1,50.0763
21,2,50.3235
21,3,49.8527
21,4,49.6781
21,5,50.1203
22,1,50.2566
22,2,50.2872
22,3,49.9015
22,4,49.8544
22,5,49.8651
23,1,50.0706
23,2,50.7609
23,3,49.8005
23,4,50.2379
23,5,49.6757
24,1,50.488
24,2,49.8266
24,3,49.5783
24,4,49.6245
24,5,49.845
25,1,49.5997
25,2,49.3634
25,3,50.037
25,4,49.4537
25,5,49.977
26,1,49.8819
26,2,50.3391
26,3,50.2826
26,4,49.9693
26,5,50.1327
27,1,49.7636
27,2,50.2202
27,3,50.2584
27,4,50.2074
27,5,50.2211
28,1,49.7926
28,2,49.81
28,3,49.8056
28,4,50.2489
28,5,49.856
29,1,50.2347
29,2,49.8805
29,3,50.2112
29,4,49.9417
29,5,50.0188
30,1,49.1787
30,2,49.8043
30,3,49.828
30,4,50.0815
30,5,50.2688
31,1,50.3586
31,2,50.478
31,3,50.3343
31,4,50.3333
31,5,50.5041
32,1,50
32,2,50.3719
32,3,50.3796
32,4,50.6579
32,5,50.1677
33,1,50.0334
33,2,50.7385
33,3,49.7088
33,4,50.5509
33,5,50.2822
34,1,50.3118
34,2,50.9397
34,3,50.3497
34,4,50.3262
34,5,49.9679
35,1,50.1955
35,2,51.11
35,3,50.3965
35,4,50.0814
35,5,50.3606
36,1,50.149
36,2,50.1674
36,3,50.1814
36,4,50.5214
36,5,50.6229
37,1,50.3175
37,2,50.413
37,3,50.4997
37,4,50.258
37,5,50.4378
38,1,50.7505
38,2,50.6533
38,3,50.3439
38,4,50.3765
38,5,50.4118
39,1,50.4088
39,2,50.2238
39,3,50.4261
39,4,50.3555
39,5,50.5389
40,1,50.453
40,2,50.5055
40,3,50.4178
40,4,50.0926
40,5,50.5267
41,1,50.1197
41,2,50.4304
41,3,50.4957
41,4,50.2558
41,5,51.0071
42,1,49.7612
42,2,50.5542
42,3,50.366
42,4,49.8676
42,5,49.9509
43,1,50.7252
43,2,50.6819
43,3,50.2553
43,4,50.5467
43,5,50.576
44,1,50.4311
44,2,50.6136
44,3,50.3331
44,4,50.3731
44,5,49.8538
45,1,50.2735
45,2,50.3196
45,3,50.7301
45,4,49.9757
45,5,50.37
46,1,50.7162
46,2,49.6359
46,3,50.5421
46,4,49.868
46,5,51.2679
47,1,51.0918
47,2,50.6174
47,3,50.2227
47,4,49.1047
47,5,50.5705
48,1,50.3297
48,2,49.6132
48,3,49.9026
48,4,51.1382
48,5,50.282
49,1,50.5617
49,2,51.2158
49,3,50.2306
49,4,50.1597
49,5,50.2353
50,1,49.9587
50,2,50.0558
50,3,50.964
50,4,49.9856
50,5,50.9585
51,1,50.5694
51,2,50.652
51,3,50.882
51,4,50.8929
51,5,49.7557
52,1,50.5465
52,2,50.706
52,3,49.1695
52,4,50.9024
52,5,51.0624
53,1,50.5374
53,2,50.2761
53,3,50.3895
53,4,50.7895
53,5,50.409
54,1,50.4267
54,2,49.7083
54,3,50.6054
54,4,50.2476
54,5,49.7753
55,1,49.7338
55,2,49.84
55,3,50.9275
55,4,50.163
55,5,50.6293
56,1,50.836
56,2,50.7531
56,3,50.895
56,4,50.6432
56,5,51.0517
57,1,50.918
57,2,50.3168
57,3,49.7172
57,4,49.9796
57,5,51.0444
58,1,49.8166
58,2,50.7514
58,3,50.0696
58,4,50.0946
58,5,50.4996
59,1,50.4947
59,2,50.7964
59,3,49.7554
59,4,50.8751
59,5,51.0467
60,1,50.6536
60,2,51.1226
60,3,50.2303
60,4,50.5285
60,5,49.5746
