area,perimeter,major_axis,minor_axis,eccentricity,convex_area,extent,variety
57426,909.8,354.36,206.33,0.813,58404,0.7555,keswani
79071,1023.73,376.91,267.11,0.7055,80394,0.7294,besni
48163,810.22,307.87,199.18,0.7625,48420,0.661,keswani
108065,1169.45,419.72,327.82,0.6245,109069,0.751,besni
65278,918.96,338.31,245.68,0.6875,65442,0.6992,keswani
58690,904.81,356.96,209.34,0.81,58855,0.6272,besni
77562,1039,396,249.38,0.7768,78481,0.7859,keswani
79271,1055.64,430.93,234.22,0.8394,80392,0.6984,besni
68375,984.91,391,222.66,0.822,69907,0.7106,keswani
98475,1233.78,502,249.77,0.8674,100486,0.6953,besni
60982,933.79,381.16,203.7,0.8452,61928,0.7882,keswani
67831,1027.49,429.2,201.22,0.8833,69336,0.7814,besni
39360,730.71,275.14,182.14,0.7495,39545,0.6771,keswani
72383,1056.18,450.59,204.54,0.891,73078,0.681,besni
47475,785.31,270.55,223.43,0.5639,48182,0.7027,keswani
91536,1211.23,531.93,219.1,0.9112,92095,0.7587,besni
49985,843.97,326.85,194.71,0.8032,50535,0.6845,keswani
72015,982.91,376.63,243.45,0.763,73707,0.7184,besni
71123,987.71,379.67,238.52,0.778,72331,0.6499,keswani
88043,1103.22,438.15,255.84,0.8118,89753,0.7053,besni
49378,799.72,308.57,203.75,0.751,50252,0.6457,keswani
85767,1101.97,445.5,245.12,0.835,87834,0.693,besni
71555,1005.57,404.83,225.05,0.8312,72537,0.7241,keswani
106731,1308.2,539.12,252.07,0.884,109804,0.6923,besni
49939,862.78,335.73,189.39,0.8257,50303,0.715,keswani
95224,1195.12,477.19,254.08,0.8465,97113,0.5835,besni
59816,887.26,323.29,235.58,0.6848,60856,0.7616,keswani
56140,869.79,340.61,209.86,0.7877,56475,0.7082,besni
57397,896.31,342.18,213.57,0.7813,58394,0.7872,keswani
80922,1117.54,469.51,219.45,0.8841,81451,0.6491,besni
73632,1052.07,426.29,219.92,0.8566,73705,0.6258,keswani
59237,881.01,320.59,235.27,0.6793,59964,0.7191,besni
69384,975.83,352.66,250.51,0.7039,70775,0.6631,keswani
99121,1161.3,461.12,273.69,0.8048,100235,0.7205,besni
60316,885.61,327.18,234.72,0.6967,61564,0.7103,keswani
134988,1385.41,583.38,294.61,0.8631,137515,0.6995,besni
70237,956.37,369.08,242.31,0.7543,70873,0.7954,keswani
120583,1265.48,468.94,327.4,0.7159,123549,0.6865,besni
78849,1021.23,384.4,261.17,0.7337,80728,0.7021,keswani
68067,1061.55,454.44,190.71,0.9077,69312,0.7058,besni
46060,795.19,319.61,183.49,0.8188,46688,0.7383,keswani
101376,1265.45,527.14,244.86,0.8856,102182,0.6633,besni
56822,872.38,325.92,221.98,0.7322,57286,0.6561,keswani
78333,1072.94,444.69,224.28,0.8635,78810,0.6001,besni
67580,916.56,300.58,286.26,0.3049,68324,0.7218,keswani
85967,1161.31,490.29,223.25,0.8903,87242,0.6884,besni
42935,737.86,263.46,207.5,0.6162,43565,0.7908,keswani
43052,785.25,315.1,173.96,0.8338,43753,0.6941,besni
52340,884.84,360.2,185.01,0.858,53872,0.7125,keswani
77167,1122.9,481.08,204.23,0.9054,78416,0.6854,besni
53339,901.2,373.4,181.88,0.8734,54093,0.705,keswani
80949,1081,433.4,237.81,0.836,82393,0.796,besni
55893,852,314.5,226.29,0.6945,56863,0.6598,keswani
100778,1285.94,545.22,235.34,0.902,102592,0.7915,besni
60885,891.96,336.79,230.17,0.73,61704,0.6606,keswani
80563,1021.64,403.75,254.06,0.7772,82157,0.7151,besni
81593,1045.45,389.65,266.62,0.7292,82620,0.6311,keswani
97934,1189.28,481.26,259.1,0.8427,98010,0.6948,besni
71174,959.94,353.98,256.01,0.6906,71860,0.7176,keswani
98619,1252.57,522.87,240.15,0.8883,99652,0.7249,besni
68932,1030.47,442.6,198.3,0.894,69922,0.7511,keswani
63494,992.33,410.87,196.76,0.8779,63705,0.7824,besni
57042,883.57,333.98,217.46,0.759,57626,0.786,keswani
84187,1146.58,483.06,221.9,0.8882,84366,0.6522,besni
48054,805.16,300.01,203.94,0.7334,49049,0.7609,keswani
88205,1156.04,466.93,240.52,0.8571,88250,0.7482,besni
75121,1011.75,392.47,243.7,0.7839,76734,0.7022,keswani
69531,995.89,394.38,224.48,0.8222,70602,0.6319,besni
54463,854.2,337.08,205.72,0.7922,55515,0.6639,keswani
46314,840.93,345.82,170.52,0.87,47241,0.7234,besni
59857,915.28,351.4,216.88,0.7868,60335,0.7142,keswani
81525,1090.34,447.93,231.73,0.8558,83272,0.7199,besni
67557,979.01,373.01,230.6,0.786,67904,0.6723,keswani
111895,1280.96,519.31,274.34,0.8491,112127,0.7133,besni
51911,872.94,344.88,191.65,0.8314,53221,0.7298,keswani
117099,1258.36,486.36,306.55,0.7764,117128,0.5634,besni
55537,857.39,328.52,215.24,0.7555,56670,0.6975,keswani
86236,1137.68,465.99,235.63,0.8627,86405,0.6054,besni
57533,917.21,376.75,194.43,0.8565,58485,0.6833,keswani
87192,1138.01,479.85,231.35,0.8761,87512,0.6746,besni
57314,871.48,335.69,217.38,0.762,57754,0.6135,keswani
81180,1057.99,426.95,242.09,0.8237,81449,0.7935,besni
53035,849.98,330.4,204.38,0.7857,53955,0.6247,keswani
52150,875.73,356.69,186.15,0.853,53385,0.7158,besni
79496,1050.32,408.65,247.69,0.7954,79588,0.7236,keswani
84261,1138.85,462.26,232.09,0.8648,85817,0.628,besni
51968,844.08,322.71,205.04,0.7722,52375,0.7174,keswani
91292,1156.12,478.31,243.01,0.8613,91984,0.6723,besni
61774,924.46,367.7,213.9,0.8134,62388,0.7026,keswani
89987,1207.64,504.38,227.16,0.8928,90858,0.7183,besni
68879,1009.32,403.73,217.22,0.8429,69682,0.6976,keswani
110816,1336.73,560.46,251.75,0.8934,112047,0.6727,besni
66934,958.06,368.21,231.45,0.7778,67353,0.6503,keswani
94571,1284.3,565.37,212.98,0.9263,96124,0.6725,besni
62433,955.48,392.42,202.57,0.8565,62790,0.7399,keswani
81005,1105.04,453.15,227.6,0.8647,82585,0.6748,besni
65853,959.98,378.53,221.5,0.8109,66274,0.7044,keswani
122858,1427.68,607.72,257.4,0.9059,126140,0.7613,besni
64130,939.77,364.67,223.91,0.7893,65108,0.7426,keswani
110375,1260.42,502.75,279.53,0.8312,111649,0.7278,besni
65777,991.13,410.87,203.84,0.8683,66523,0.7094,keswani
60755,903.46,341.19,226.72,0.7473,60761,0.6376,besni
55056,853.59,323.98,216.37,0.7443,55901,0.6699,keswani
96436,1210.47,490.57,250.29,0.8601,98364,0.6985,besni
63503,902.22,345.93,233.73,0.7372,63765,0.6697,keswani
88672,1126.71,458.74,246.11,0.8439,89269,0.684,besni
67904,936.4,348.16,248.33,0.7009,68253,0.7404,keswani
80366,1098.99,441.95,231.53,0.8518,80489,0.6047,besni
57897,869.97,332.41,221.76,0.745,58176,0.7302,keswani
83824,1116.61,463.85,230.09,0.8683,84615,0.7032,besni
55647,869.14,337.45,209.96,0.7829,56564,0.738,keswani
92815,1168.24,485.69,243.31,0.8655,94023,0.5938,besni
77822,1022.97,397.05,249.55,0.7778,79927,0.7168,keswani
73637,1051.03,434.82,215.63,0.8684,75240,0.7381,besni
54708,830.19,287.57,242.23,0.5389,55132,0.6991,keswani
88625,1125.04,449.49,251.04,0.8295,88707,0.7996,besni
60459,924.94,358.22,214.9,0.8001,61820,0.7499,keswani
121146,1331.4,557.07,276.89,0.8677,123256,0.6976,besni
60900,945.6,385.48,201.15,0.8531,61362,0.7106,keswani
95575,1200.5,480.46,253.28,0.8498,97580,0.6508,besni
66772,971.25,370.11,229.71,0.7841,66863,0.6664,keswani
47005,815.72,325.1,184.09,0.8242,47053,0.6666,besni
92037,1114.8,431.71,271.45,0.7776,93574,0.7034,keswani
65370,930.87,347.92,239.23,0.7261,66248,0.6765,besni
78077,1027.87,366.24,271.44,0.6714,79129,0.6573,keswani
99464,1196.27,490.66,258.1,0.8505,100658,0.6772,besni
61694,890.76,351.09,223.73,0.7707,62777,0.7706,keswani
86846,1104,427.08,258.91,0.7953,87119,0.6688,besni
71243,970.7,359.15,252.57,0.7109,71733,0.7092,keswani
91543,1189.12,491.68,237.06,0.8761,91994,0.7013,besni
74889,1081.17,433.69,219.86,0.862,75578,0.7528,keswani
116002,1309.22,546.34,270.34,0.869,118185,0.7639,besni
56588,869.86,335.96,214.46,0.7697,57006,0.6864,keswani
58734,880.5,358.65,208.51,0.8136,60005,0.6445,besni
60161,937.07,385.29,198.81,0.8566,60549,0.7686,keswani
82638,1098.27,448.86,234.41,0.8528,83840,0.718,besni
61750,893.11,318.77,246.64,0.6335,62045,0.6623,keswani
106325,1244.23,515.23,262.75,0.8602,107592,0.7077,besni
47140,829.1,332.36,180.59,0.8395,47411,0.6837,keswani
87180,1113.18,445.14,249.36,0.8284,87881,0.7045,besni
56735,850.61,290.07,249.04,0.5127,56988,0.7837,keswani
96409,1232.72,530.87,231.23,0.9002,98222,0.6488,besni
