date,sessions
2021-01-01,8447
2021-01-02,4787
2021-01-03,4480
2021-01-04,9513
2021-01-05,9424
2021-01-06,8885
2021-01-07,8297
2021-01-08,8184
2021-01-09,5028
2021-01-10,4614
2021-01-11,8772
2021-01-12,9758
2021-01-13,9554
2021-01-14,8422
2021-01-15,8161
2021-01-16,4897
2021-01-17,4817
2021-01-18,9120
2021-01-19,10499
2021-01-20,9184
2021-01-21,9255
2021-01-22,7661
2021-01-23,5028
2021-01-24,4817
2021-01-25,9513
2021-01-26,10432
2021-01-27,9580
2021-01-28,9982
2021-01-29,8255
2021-01-30,5287
2021-01-31,5173
2021-02-01,10583
2021-02-02,11013
2021-02-03,10244
2021-02-04,9403
2021-02-05,8329
2021-02-06,4990
2021-02-07,4763
2021-02-08,9708
2021-02-09,10403
2021-02-10,10301
2021-02-11,9596
2021-02-12,9412
2021-02-13,5372
2021-02-14,4942
2021-02-15,10224
2021-02-16,10574
2021-02-17,9833
2021-02-18,10167
2021-02-19,7942
2021-02-20,4630
2021-02-21,4901
2021-02-22,9927
2021-02-23,10696
2021-02-24,10734
2021-02-25,10017
2021-02-26,8901
2021-02-27,5807
2021-02-28,5131
2021-03-01,10044
2021-03-02,10096
2021-03-03,10429
2021-03-04,10512
2021-03-05,9259
2021-03-06,5509
2021-03-07,4975
2021-03-08,10620
2021-03-09,10069
2021-03-10,10982
2021-03-11,10282
2021-03-12,8664
2021-03-13,5289
2021-03-14,4704
2021-03-15,10456
2021-03-16,10753
2021-03-17,10838
2021-03-18,10159
2021-03-19,9523
2021-03-20,5434
2021-03-21,5360
2021-03-22,11237
2021-03-23,10559
2021-03-24,10570
2021-03-25,10593
2021-03-26,9294
2021-03-27,6038
2021-03-28,5185
2021-03-29,10522
2021-03-30,12329
2021-03-31,10028
2021-04-01,11035
2021-04-02,9285
2021-04-03,5770
2021-04-04,5678
2021-04-05,9821
2021-04-06,10976
2021-04-07,11082
2021-04-08,11023
2021-04-09,9814
2021-04-10,5777
2021-04-11,5458
2021-04-12,11661
2021-04-13,11392
2021-04-14,11378
2021-04-15,11364
2021-04-16,9507
2021-04-17,5623
2021-04-18,5593
2021-04-19,10219
2021-04-20,11276
2021-04-21,11769
2021-04-22,10634
2021-04-23,8917
2021-04-24,5902
2021-04-25,4902
2021-04-26,10756
2021-04-27,10796
2021-04-28,11081
2021-04-29,10635
2021-04-30,9060
2021-05-01,6108
2021-05-02,5738
2021-05-03,11180
2021-05-04,10928
2021-05-05,11160
2021-05-06,11000
2021-05-07,9134
2021-05-08,6460
2021-05-09,5752
2021-05-10,10568
2021-05-11,11820
2021-05-12,11520
